# Drag Curve (Up to date),
# 2974 data points written for 2 variables.,
# Simulation warnings:,
#   No recovery device defined in the simulation.,
#   Open forward airframe (diameter > 0):  ""Transition""",
#,
# Mach number (​),Drag coefficient (​)
# Event SIM_WARN occurred at t=0 seconds: No recovery device defined in the simulation.,
# Event IGNITION occurred at t=0 seconds,
# Event LAUNCH occurred at t=0 seconds,
0.33,0.483
0.344,0.486
0.358,0.488
0.372,0.491
0.386,0.494
0.4,0.497
0.414,0.5
0.428,0.504
0.442,0.507
0.455,0.511
0.469,0.514
0.482,0.518
0.495,0.522
0.508,0.526
0.52,0.53
0.532,0.534
0.544,0.538
0.556,0.542
0.567,0.546
0.579,0.551
0.589,0.555
0.6,0.559
0.61,0.564
0.62,0.568
0.63,0.573
0.639,0.577
0.648,0.582
0.657,0.586
0.665,0.59
0.672,0.594
0.678,0.598
0.682,0.6
0.683,0.601
0.682,0.599
0.677,0.597
0.67,0.593
0.663,0.589
0.654,0.585
0.646,0.581
0.637,0.576
0.629,0.572
0.62,0.568
0.612,0.565
0.604,0.561
# Event BURNOUT occurred at t=7.4 seconds,
# Event EJECTION_CHARGE occurred at t=7.4 seconds,
0.596,0.558
0.588,0.554
0.58,0.551
0.572,0.548
0.565,0.546
0.558,0.543
0.551,0.54
0.544,0.538
0.538,0.536
0.531,0.533
0.525,0.531
0.519,0.529
0.513,0.527
0.507,0.526
0.501,0.524
0.495,0.522
0.49,0.52
0.484,0.519
0.479,0.517
0.474,0.516
0.469,0.514
0.463,0.513
0.458,0.511
0.454,0.51
0.449,0.509
0.444,0.508
0.439,0.507
0.435,0.505
0.43,0.504
0.426,0.503
0.422,0.502
0.417,0.501
0.413,0.5
0.409,0.499
0.405,0.498
0.401,0.497
0.397,0.496
0.393,0.496
0.389,0.495
0.385,0.494
0.381,0.493
0.378,0.492
0.374,0.492
0.37,0.491
0.367,0.49
0.363,0.489
0.36,0.489
0.356,0.488
0.353,0.487
0.349,0.487
0.346,0.486
0.343,0.486
0.34,0.485
0.336,0.484
0.333,0.484
0.33,0.483
0.327,0.483
0.324,0.482
0.321,0.482
0.318,0.481
0.315,0.481
